zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,log10_t_set,zmax
z<=22,mE,0.75,0.7400688145136065,0.125,700.0,0.04678761338755082,4.4404128870816395,0.7756695798595934,1.0,-4.1627858283969,22.0
z<=24,mE,0.25,0.2517985611510791,0.045,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.0,,24.0
z<=24,mE,0.25,0.25175983436853006,0.055,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.25,-3.5203880329350703,24.0
z<=24,mE,0.25,0.25175983436853006,0.065,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.0,,24.0
z<=24,mE,0.25,0.2517985611510791,0.075,700.0,0.13467625899280575,1.5107913669064748,2.2327336161542095,0.0,,24.0
z<=24,mE,0.25,0.25175983436853006,0.085,700.0,0.1346832298136646,1.5105590062111802,2.2328491820763707,0.5,-3.7827408038030503,24.0
z<=24,mE,0.25,0.2571428571428572,0.095,700.0,0.1337142857142857,1.5428571428571431,2.216785518895965,0.5,-3.8220938199693926,24.0
z<=24,mE,0.25,0.249087686372641,0.105,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,0.5,-3.6949013325227473,24.0
z<=24,mE,0.25,0.249087686372641,0.115,700.0,0.13516421645292462,1.494526118235846,2.2408232307054927,1.0,-4.116448802735584,24.0
z<=24,mE,0.25,0.2544707091469681,0.125,700.0,0.13419527235354572,1.526824254881809,2.224759567525087,1.0,-4.002989909350248,24.0
z<=24,mE,0.5,0.49999999999999994,0.045,700.0,0.09,2.9999999999999996,1.4920671761799764,0.0,,24.0
z<=24,mE,0.5,0.49272698629417633,0.055,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.0,,24.0
z<=24,mE,0.5,0.4963768115942029,0.065,700.0,0.09065217391304348,2.978260869565217,1.502879257166788,0.25,-3.572266416274595,24.0
z<=24,mE,0.5,0.49275362318840576,0.075,700.0,0.09130434782608696,2.9565217391304346,1.5136913381535995,1.0,-3.6824118033397917,24.0
z<=24,mE,0.5,0.49457825044312376,0.085,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.5,-3.6269702583961365,24.0
z<=24,mE,0.5,0.49275362318840576,0.095,700.0,0.09130434782608696,2.9565217391304346,1.5136913381535995,0.5,-3.7991917537926154,24.0
z<=24,mE,0.5,0.4982014388489208,0.105,700.0,0.09032374100719423,2.989208633093525,1.4974343242957318,1.0,-3.767190933173678,24.0
z<=24,mE,0.5,0.49457825044312376,0.115,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,0.25,-3.7290575558704178,24.0
z<=24,mE,0.5,0.4963768115942029,0.125,700.0,0.09065217391304348,2.978260869565217,1.502879257166788,0.5,-4.0615720422107735,24.0
z<=24,mE,0.75,0.7410071942446044,0.045,700.0,0.04661870503597121,4.446043165467627,0.7728693286687646,0.25,-3.26244591136031,24.0
z<=24,mE,0.75,0.7400688145136065,0.055,700.0,0.04678761338755082,4.4404128870816395,0.7756695798595934,0.0,,24.0
z<=24,mE,0.75,0.7400688145136065,0.065,700.0,0.04678761338755082,4.4404128870816395,0.7756695798595934,1.0,-3.425119871187834,24.0
z<=24,mE,0.75,0.7410071942446044,0.075,700.0,0.04661870503597121,4.446043165467627,0.7728693286687646,0.25,-3.600659302614102,24.0
z<=24,mE,0.75,0.7400688145136065,0.085,700.0,0.04678761338755082,4.4404128870816395,0.7756695798595934,0.75,-3.5213475886704058,24.0
z<=24,mE,0.75,0.7409937888198759,0.095,700.0,0.04662111801242235,4.445962732919255,0.772909332257205,0.75,-3.592459896275266,24.0
z<=24,mE,0.75,0.7419321685508736,0.105,700.0,0.04645220966084274,4.451593011305242,0.7701090810663762,0.75,-3.7900889322070093,24.0
z<=24,mE,0.75,0.7410071942446044,0.115,700.0,0.04661870503597121,4.446043165467627,0.7728693286687646,1.0,-4.060070387589327,24.0
z<=24,mE,0.75,0.7400688145136065,0.125,700.0,0.04678761338755082,4.4404128870816395,0.7756695798595934,0.75,-4.0292078348601175,24.0
