zone_tag,source,m_target,m_actual,E,T,sigma_E,lc,Delta,formed_prob,branches,tortuosity,zmax
z<=12,mE,0.5,0.4890510948905109,0.085,700.0,0.09197080291970804,2.9343065693430654,1.5247401800379323,1.0,85.5,41.34057971014492,12.0
z<=12,mE,0.5,0.49272698629417633,0.095,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.5,95.0,28.278985507246375,12.0
z<=12,mE,0.5,0.49090235903945834,0.105,700.0,0.09163757537289749,2.94541415423675,1.5192157590957658,0.75,90.0,41.847826086956516,12.0
z<=12,mE,0.5,0.49272698629417633,0.115,700.0,0.09130914246704826,2.956361917765058,1.5137708262247096,0.75,92.0,38.04347826086956,12.0
z<=12,mE,0.5,0.49457825044312376,0.125,700.0,0.09097591492023771,2.9674695026587425,1.5082464052825433,1.0,78.0,45.65217391304347,12.0
z<=12,mE,0.75,0.7391167358084336,0.045,700.0,0.046958987554481954,4.434700414850601,0.7785107106298506,0.0,,,12.0
z<=12,mE,0.75,0.7381783560774358,0.055,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,0.0,,,12.0
z<=12,mE,0.75,0.7391304347826088,0.065,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.25,45.0,16.956521739130437,12.0
z<=12,mE,0.75,0.7372262773722628,0.075,700.0,0.0472992700729927,4.423357664233577,0.7841520925909365,0.25,73.0,38.04347826086956,12.0
z<=12,mE,0.75,0.7381783560774358,0.085,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,0.5,89.0,44.0133779264214,12.0
z<=12,mE,0.75,0.7391304347826088,0.095,700.0,0.046956521739130425,4.434782608695652,0.7784698310504223,0.25,90.0,57.318840579710134,12.0
z<=12,mE,0.75,0.7372262773722628,0.105,700.0,0.0472992700729927,4.423357664233577,0.7841520925909365,0.5,41.0,34.2391304347826,12.0
z<=12,mE,0.75,0.7381783560774358,0.115,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,1.0,83.0,47.771739130434774,12.0
z<=12,mE,0.75,0.7381783560774358,0.125,700.0,0.04712789590606156,4.429070136464615,0.7813109618206795,1.0,83.0,40.57971014492753,12.0
z<=15,mE,0.25,0.24519991422726298,0.045,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,0.0,,,15.0
z<=15,mE,0.25,0.2503572830482056,0.055,700.0,0.13493568905132297,1.5021436982892336,2.2370345836522985,0.0,,,15.0
z<=15,mE,0.25,0.242603550295858,0.065,700.0,0.13633136094674556,1.455621301775148,2.2601727639175975,0.0,,,15.0
z<=15,mE,0.25,0.2503572830482056,0.075,700.0,0.13493568905132297,1.5021436982892336,2.2370345836522985,0.25,92.0,41.69565217391303,15.0
z<=15,mE,0.25,0.24519991422726298,0.085,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,0.25,97.0,21.304347826086957,15.0
z<=15,mE,0.25,0.2503572830482056,0.095,700.0,0.13493568905132297,1.5021436982892336,2.2370345836522985,0.5,87.5,62.39130434782608,15.0
z<=15,mE,0.25,0.24519991422726298,0.105,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,0.5,87.0,59.90579710144927,15.0
z<=15,mE,0.25,0.24519991422726298,0.115,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,1.0,75.5,24.34782608695652,15.0
z<=15,mE,0.25,0.24519991422726298,0.125,700.0,0.13586401543909266,1.4711994853635777,2.2524248651186634,1.0,66.5,38.61413043478261,15.0
z<=15,mE,0.5,0.4869739478957916,0.045,700.0,0.0923446893787575,2.92184368737475,1.5309386657397754,0.0,,,15.0
z<=15,mE,0.5,0.4905225470704255,0.055,700.0,0.09170594152732342,2.9431352824225527,1.5203491690399944,0.0,,,15.0
